studentID,Type,Subject,Request,Date,Signature,Timestamp,Status,Time,DeclineReason,majorEndorserSignature,majorEndorserDate
661022,คำร้องทั่วไป:,ขอสำเนาใบปริญญาแทนฉบับเดิม,ข้าพเจ้า ปราณี มณีวรรณ รหัสนักศึกษา 661022อีเมล: pranee.m@ku.thขอความอนุเคราะห์ในการ: ขอสอบซ่อมวิชา การนอนเบื้องต้นเหตุผล: เนื่องจากข้าพเจ้าไม่สามารถเข้าทำการสอบในวันที่กำหนดได้ เนื่องจาก มีเหตุฉุกเฉินขอแสดงความนับถือ,2024-07-17,ปราณี มณีวรรณ,1729190448778,ปฏิเสธโดยหัวหน้าภาควิชา คำร้องถูกปฏิเสธ,23:46:01.918504800,ถูกปฎิเสธเนื่องจาก: ไม่ให้,อ.สมโชค เรืองอิทธินันท์ หัวหน้าภาควิทยาการคอมพิวเตอร์,2024-10-18,"",2024-10-18T01:40:48.778168300,"",50e7d4,null
661021,คำร้องทั่วไป:,ขออนุญาต ขอเลื่อนการส่งงาน,ขอความอนุเคราะห์เรื่องการขอเลื่อนส่งงานเพราะอยากเข้าห้องนำก่อนค่ะ,2024-07-17,กัลยาณี ศิริศักดิ์ ,1729189382224,ปฏิเสธโดยอาจารย์ที่ปรึกษา คำร้องถูกปฏิเสธ,23:47:49.101335,ถูกปฎิเสธเนื่องจากno,"","","",2024-10-18T01:23:02.224656600,"",568f54,null
661023,ใบลาพักการศึกษา:,ต้องกลับไปดูแลสุนัขที่ต่างจังหวัด,มีความประสงค์ขอลาพักการศึกษาเป็นจำนวน 1 ปีการศึกษา ตั้งแต่ภาค 1 ปีการศึกษา 2567 ถึงภาค 2 ปีการศึกษา 2567 วิชาที่ลงทะเบียน: 1111 - การนอน,2024-06-17,อาทิตย์ แสงจันทร์,1729189393689,อนุมัติโดยคณบดี คำร้องดำเนินการครบถ้วน,23:49:39.105415500,"","","","","","",3e3fb6,null
661024,ขอลงทะเบียนเรียน:,มีความประสงค์: ลงทะเบียนต่ากว่า 9 หน่วยกิต,ไม่สะดวกมาเรียนวันเสาร์และอาทิตยบ์,2024-07-17,ธนพร หอมหวล,1729183842814,ใบคำร้องใหม่ คำร้องส่งต่อให้อาจารย์ที่ปรึกษา,23:50:42.814677100,"","","","","","",1f8542,null
661025,ใบลาพักการศึกษา:,ต้องการพักผ่อน,มีความประสงค์ขอลาพักการศึกษาเป็นจำนวน 2 ปีการศึกษา ตั้งแต่ภาค 1 ปีการศึกษา 2567 ถึงภาค 2 ปีการศึกษา 2567 วิชาที่ลงทะเบียน: 22222-วิชาคนสู้ชีวิต,2024-06-17,พัชรินทร์ แก้วมณี,1729190994600,อนุมัติโดยคณบดี คำร้องดำเนินการครบถ้วน,23:52:02.346556600,"",อ.สมโชค เรืองอิทธินันท์ หัวหน้าภาควิทยาการคอมพิวเตอร์,2024-10-18,2024-10-18,"",ผศ.ดร.ณัฐวุฒิ วัฒนธรรม,b4b7d1,data/appealPDF\b4b7d1.pdf
661026,คำร้องทั่วไป:,ขอส่งงานล่าช้า,ขอส่งงาทนล่าช้า,2024-06-17,รัชนี ศรีสวัสดิ์,1729190409562,อนุมัติโดยหัวหน้าภาควิชา คำร้องดำเนินการครบถ้วน,23:53:03.373825500,"",อ.สมโชค เรืองอิทธินันท์ หัวหน้าภาควิทยาการคอมพิวเตอร์,2024-10-18,"","","",69c09f,data/appealPDF\69c09f.pdf
661027,ขอลงทะเบียนเรียน:,มีความประสงค์: ย้ายคณะ หรือเปลี่ยนสาขาวิชาเอก,ไม่อยู่แล้วจ้า,2024-07-17,ก้องภพ รัตนวิชัย,1729189617881,ปฏิเสธโดยอาจารย์ที่ปรึกษา คำร้องถูกปฏิเสธ,23:53:57.573705200,ถูกปฎิเสธเนื่องจากไม่,"","","",2024-10-18T01:26:57.881049300,"",1905b0,null
661028,ใบลาพักการศึกษา:,ต้องการเตรียมตัวสำหรับการฝึกงาน,มีความประสงค์ขอลาพักการศึกษาเป็นจำนวน 1 ปีการศึกษา ตั้งแต่ภาค 1 ปีการศึกษา 2567 ถึงภาค 2 ปีการศึกษา 2567 วิชาที่ลงทะเบียน: ไม่มี,2024-07-17,พีรดนย์ จันทร์เพ็ญ,1729191000944,อนุมัติโดยคณบดี คำร้องดำเนินการครบถ้วน,23:58:29.329163400,"",อ.สมโชค เรืองอิทธินันท์ หัวหน้าภาควิทยาการคอมพิวเตอร์,2024-10-18,2024-10-18,"",ผศ.ดร.ณัฐวุฒิ วัฒนธรรม,a78cdf,data/appealPDF\a78cdf.pdf
661029,คำร้องทั่วไป:,ทดสอบคำนร้อง,ทดสอบคำร้อง,2024-07-17,ศศิธร วัฒนานนท์,1729184357442,ใบคำร้องใหม่ คำร้องส่งต่อให้อาจารย์ที่ปรึกษา,23:59:17.442926,"","","","","","",036c2a,null
661030,ขอลงทะเบียนเรียน:,มีความประสงค์: ผ่อนผันค่าธรรมเนียมการศึกษา,ไม่มีเงินอ่า,2024-07-17,ณัฐพล สิงห์ทอง,1729189645412,ปฏิเสธโดยอาจารย์ที่ปรึกษา คำร้องถูกปฏิเสธ,00:00:05.178774900,ถูกปฎิเสธเนื่องจากครูก็ไม่มี,"","","",2024-10-18T01:27:25.412749400,"",9db784,null
661016,ใบลาพักการศึกษา:,เหนื่อย,มีความประสงค์ขอลาพักการศึกษาเป็นจำนวน 6 ปีการศึกษา ตั้งแต่ภาค 1 ปีการศึกษา 2567 ถึงภาค 2 ปีการศึกษา 2573 วิชาที่ลงทะเบียน: 01418211 software construct,2024-10-18,b661016,1729189427212,ปฏิเสธโดยอาจารย์ที่ปรึกษา คำร้องถูกปฏิเสธ,00:49:06.076628600,ถูกปฎิเสธเนื่องจากจริงครับ,"","","",2024-10-18T01:23:47.212244900,"",294d68,""
661017,คำร้องทั่วไป:,สารเคมีกระเด็นใส่,อาจารย์สั่งงานเยอะจนเบลอไม่มีสมาธิทำlab ไล่ผมออกที เอกสารสูญหาย,2024-10-18,นภดล เจริญธรรม,1729190541582,ปฏิเสธโดยหัวหน้าภาควิชา คำร้องถูกปฏิเสธ,00:50:36.867596600,ถูกปฎิเสธเนื่องจาก: เวอร์จัด,"",2024-10-18,"",2024-10-18T01:42:21.582468200,"",790a78,""
661017,ใบลาพักการศึกษา:,สารเคมีทำผมเป็นthe hulk,มีความประสงค์ขอลาพักการศึกษาเป็นจำนวน ๅ ปีการศึกษา ตั้งแต่ภาค ๅ ปีการศึกษา 2567 ถึงภาค 1 ปีการศึกษา 2568 วิชาที่ลงทะเบียน: 111 intro Chem,2024-10-18,นภดล เจริญธรรม,1729190981462,อนุมัติโดยคณบดี คำร้องดำเนินการครบถ้วน,00:51:34.125130600,"",ดร. วรางคณา สารพิทักษ์ รองหัวหน้าภาคเคมี,2024-10-18,2024-10-18,"",รศ.ดร.พิชญ์สินธุ์ ทองสุข,c5fdde,data/appealPDF\c5fdde.pdf
661018,ขอลงทะเบียนเรียน:,มีความประสงค์: ลงทะเบียนเรียนล่าช้าหรือรักษาสถานภาพนิสิตล่าช้า,ลืม ,2024-10-18,อนุชิต อินทรักษ์,1729187639836,ใบคำร้องใหม่ คำร้องส่งต่อให้อาจารย์ที่ปรึกษา,00:53:59.836275800,"","","","","","",958586,""
661019,ขอลงทะเบียนเรียน:,มีความประสงค์: ผ่อนผันค่าธรรมเนียมการศึกษา,อนุชิตแย่งตังไปไม่มีตัง,2024-10-18,พิชญา เกตุแก้ว,1729190503092,อนุมัติโดยหัวหน้าภาควิชา คำร้องดำเนินการครบถ้วน,00:54:35.738565900,"",ดร. วรางคณา สารพิทักษ์ รองหัวหน้าภาคเคมี,2024-10-18,"","","",16a45d,data/appealPDF\16a45d.pdf
661019,คำร้องทั่วไป:,ลองระบบ,อยากลองระบบเฉยๆครับ เอกสารชำรุด,2024-10-18,ณัฐวุฒิ,1729189449547,ปฏิเสธโดยอาจารย์ที่ปรึกษา คำร้องถูกปฏิเสธ,00:56:22.325395900,ถูกปฎิเสธเนื่องจากtest,"","","",2024-10-18T01:24:09.547261600,"",cb4600,""
661019,ใบลาพักการศึกษา:,พอเหอะ,มีความประสงค์ขอลาพักการศึกษาเป็นจำนวน 3 ปีการศึกษา ตั้งแต่ภาค 1 ปีการศึกษา 2567 ถึงภาค 2 ปีการศึกษา 2568 วิชาที่ลงทะเบียน: ไม่ลง,2024-10-18,ณัฐวุฒิ,1729190529181,ปฏิเสธโดยหัวหน้าภาควิชา คำร้องถูกปฏิเสธ,00:56:48.438832800,ถูกปฎิเสธเนื่องจาก: จุ๊ๆ,"",2024-10-18,"",2024-10-18T01:42:09.181689900,"",e01df4,""
661020,ขอลงทะเบียนเรียน:,มีความประสงค์: ย้ายคณะ หรือเปลี่ยนสาขาวิชาเอก,ไม่อยู่ละโว้ย,2024-10-18,ณัฐวุฒิ,1729189468060,ปฏิเสธโดยอาจารย์ที่ปรึกษา คำร้องถูกปฏิเสธ,00:57:33.473885100,ถูกปฎิเสธเนื่องจากดีๆ,"","","",2024-10-18T01:24:28.060104100,"",c7178d,""
661020,ใบลาพักการศึกษา:,อยากเป็นdek69,มีความประสงค์ขอลาพักการศึกษาเป็นจำนวน 1 ปีการศึกษา ตั้งแต่ภาค 1 ปีการศึกษา 2567 ถึงภาค 2 ปีการศึกษา 2567 วิชาที่ลงทะเบียน: no,2024-10-18,ณัฐวุฒิ,1729190491784,อนุมัติโดยหัวหน้าภาควิชา คำร้องส่งต่อให้คณบดี,00:58:16.632833800,"",ดร. วรางคณา สารพิทักษ์ รองหัวหน้าภาคเคมี,2024-10-18,"","","",4e78ad,data/appealPDF\4e78ad.pdf
661031,คำร้องทั่วไป:,Hello,ทักทาย เอกสารสูญหาย,2024-10-18,นิติพร ทวีทรัพย์,1729189494247,ปฏิเสธโดยอาจารย์ที่ปรึกษา คำร้องถูกปฏิเสธ,00:58:58.544794400,ถูกปฎิเสธเนื่องจากNOoooo,"","","",2024-10-18T01:24:54.247948800,"",b20928,""
